subject,verb,0
i,have,1318
i,want,1210
i,go,1076
i,do,650
i,get,586
i,like,462
i,start,377
i,tell,326
i,think,316
i,try,302
i,take,281
i,know,274
i,love,271
i,see,259
i,say,251
i,make,237
he,have,232
i,show,232
i,use,226
i,put,213
i,ask,210
i,find,197
i,give,189
i,call,167
i,need,141
i,saw,132
he,say,132
i,write,130
i,mean,118
he,do,111
i,learn,109
i,spend,107
i,meet,103
i,decide,100
she,have,94
he,get,90
i,remember,81
i,hear,79
he,go,78
he,take,78
i,believe,74
i,begin,73
he,want,71
he,make,67
i,build,63
i,look,63
i,read,62
he,tell,58
i,understand,57
i,bring,56
i,leave,56
he,put,54
i,buy,54
i,realize,51
i,come,51
i,keep,51
i,turn,49
he,write,48
she,say,47
i,play,44
he,start,42
she,do,41
i,feel,41
he,give,39
i,pick,39
i,study,39
i,watch,39
i,create,36
i,work,35
i,hope,35
he,find,34
i,choose,34
she,go,34
i,lose,33
he,ask,33
i,move,32
she,want,32
i,walk,32
i,teach,32
i,end,31
he,call,31
i,add,30
i,felt,30
i,set,30
i,mention,30
i,send,29
i,expect,29
i,share,28
i,forget,28
i,change,28
i,develop,28
i,run,27
i,talk,27
he,know,27
i,explain,26
i,open,26
i,design,25
he,use,25
i,invite,25
i,pay,25
i,hate,25
i,describe,24
she,get,24
he,turn,24
she,take,23
he,try,23
i,thank,23
i,stop,22
i,suppose,22
i,imagine,22
i,offer,21
i,draw,21
she,give,21
i,drive,21
he,see,21
he,lose,21
i,experience,20
i,figure,20
i,pull,20
i,grow,20
i,hold,20
i,live,20
he,saw,20
i,throw,20
she,tell,20
i,wish,20
he,bring,20
i,become,19
i,finish,19
i,sit,19
he,come,19
i,miss,19
i,let,19
she,find,19
i,help,18
i,notice,18
i,wear,18
i,receive,18
i,be,18
i,encourage,18
i,join,17
he,look,17
he,build,17
she,start,17
i,happen,17
i,enjoy,17
i,cut,17
i,follow,16
i,consider,16
i,cover,16
i,touch,16
i,discover,16
he,keep,16
she,make,16
he,pull,16
i,promise,16
i,sell,15
i,hat,15
she,try,15
he,show,15
i,visit,15
i,invent,14
i,speak,14
i,manage,14
i,close,14
he,like,14
i,hire,14
i,raise,14
i,'s,14
i,gon,14
i,appreciate,14
i,fly,13
i,witness,13
i,catch,13
i,hit,13
i,remind,12
he,begin,12
i,eat,12
i,hop,12
he,understand,12
i,shoot,12
i,present,12
i,save,12
she,bring,11
he,hear,11
i,quit,11
he,spend,11
he,need,11
i,approach,11
he,leave,11
he,decide,11
i,lead,11
i,stick,11
i,wait,11
he,read,11
she,use,11
i,record,10
i,solve,10
i,paint,10
i,place,10
i,drop,10
i,carry,10
he,think,10
he,send,10
i,recommend,10
i,blow,10
he,teach,10
she,know,10
he,design,10
i,photograph,10
she,see,9
i,suspect,9
i,force,9
i,check,9
i,convince,9
he,play,9
i,plan,9
i,collect,9
he,describe,9
i,propose,9
he,mean,9
i,stand,9
i,pass,9
i,organize,9
i,push,9
she,saw,9
i,win,9
i,found,9
i,allow,9
he,speak,9
i,type,9
i,wake,9
i,grab,8
she,come,8
he,shoot,8
i,struggle,8
i,suggest,8
he,learn,8
i,measure,8
she,stop,8
i,fill,8
he,hold,8
i,guess,8
i,prefer,8
i,argue,8
she,ask,8
he,open,8
he,kill,8
he,run,8
he,grab,8
he,propose,8
she,read,7
i,fight,7
he,pick,7
he,draw,7
he,develop,7
i,guarantee,7
i,roll,7
he,throw,7
he,invent,7
she,leave,7
he,sit,7
i,post,7
he,create,7
i,continue,7
i,test,7
i,apply,7
i,not,7
i,name,7
i,quote,7
i,accept,7
i,urge,7
i,recognize,7
i,treat,7
i,capture,7
i,introduce,7
he,live,7
i,ignore,7
i,intend,7
i,interview,7
i,explore,7
he,work,7
i,split,7
i,admire,6
i,break,6
he,win,6
i,demonstrate,6
